0 1  1  0  1.41421
1  1.46376  -0.484376  -1.92649  2.4675
2  1.01983  -3.3076  -1.34347  3.71284
3  -0.0054061  -4.76627  -1.64782  5.04308
4  0.327496  -5.99736  -4.77866  7.67536
5  0.425332  -7.82623  -7.05682  10.5465
6  0.425332  -7.82623  -7.05682  10.5465
7  1.04039  -5.51678  -7.46255  9.33846
8  1.04039  -5.51678  -7.46255  9.33846
9  4.95677  -2.09442  -6.51123  8.44703
10  4.95677  -2.09442  -6.51123  8.44703
11  4.95677  -2.09442  -6.51123  8.44703
12  4.95677  -2.09442  -6.51123  8.44703
13  4.95677  -2.09442  -6.51123  8.44703
14  4.95677  -2.09442  -6.51123  8.44703
15  4.95677  -2.09442  -6.51123  8.44703
16  5.26706  -1.95848  -6.77834  8.80474
17  5.26706  -1.95848  -6.77834  8.80474
18  2.80048  1.12098  -6.18376  6.88027
19  2.80048  1.12098  -6.18376  6.88027
20  2.28682  -2.11819  -2.36657  3.91368
21  2.19405  -3.9166  -4.49563  6.35329
22  3.54646  -2.92023  -3.43251  5.73475
23  3.85522  1.79136  -3.7955  5.6989
24  3.92937  -0.261696  -6.28136  7.41377
25  3.92937  -0.261696  -6.28136  7.41377
26  3.92937  -0.261696  -6.28136  7.41377
27  4.27039  1.54876  -4.28202  6.24265
28  4.27039  1.54876  -4.28202  6.24265
29  4.27039  1.54876  -4.28202  6.24265
30  4.73275  1.32826  -4.1508  6.43368
31  5.18931  -0.884193  -5.96641  7.95668
32  7.19517  -1.0157  -5.59737  9.17239
33  7.74557  -1.3171  -6.11367  9.95518
34  8.90736  -1.69465  -6.09431  10.9249
35  8.90736  -1.69465  -6.09431  10.9249
36  8.90736  -1.69465  -6.09431  10.9249
37  7.26819  -2.20313  -7.80649  10.8914
38  5.17529  -2.81151  -6.69842  8.91948
39  3.06334  -3.86726  -7.17544  8.70785
40  3.96116  -3.61583  -8.52819  10.0745
41  3.96116  -3.61583  -8.52819  10.0745
42  2.94823  -5.31461  -8.56404  10.5014
43  -0.267068  -5.45534  -8.8034  10.3601
44  2.15231  -2.66188  -8.6606  9.31258
45  0.691796  -2.06796  -10.0641  10.2976
46  2.89272  -3.45614  -8.81243  9.89806
47  4.08979  -1.62556  -10.7444  11.6108
48  4.57168  1.24761  -9.74471  10.8359
49  4.55661  -2.161  -9.89762  11.1084
50  4.55661  -2.161  -9.89762  11.1084
51  5.88866  -0.775073  -9.21036  10.9594
52  7.04759  -1.28245  -6.80482  9.88022
53  5.3021  -1.89078  -5.60392  7.943
54  5.3021  -1.89078  -5.60392  7.943
55  5.3021  -1.89078  -5.60392  7.943
56  2.24181  -2.05173  -7.55053  8.13916
57  2.24181  -2.05173  -7.55053  8.13916
58  2.57325  0.692579  -7.12105  7.60333
59  -0.50013  -2.61304  -7.30995  7.77904
60  -1.44999  -4.26447  -6.57857  7.97281
61  -1.44999  -4.26447  -6.57857  7.97281
62  -0.865284  -3.76344  -8.56314  9.39359
63  -1.42815  -3.19912  -8.48765  9.18227
64  -1.42815  -3.19912  -8.48765  9.18227
65  -3.62114  -2.59504  -7.04156  8.33249
66  -3.62114  -2.59504  -7.04156  8.33249
67  -5.46536  -1.74135  -7.46131  9.41135
68  -3.92454  -5.93084  -8.95362  11.4343
69  -3.92454  -5.93084  -8.95362  11.4343
70  -3.92454  -5.93084  -8.95362  11.4343
71  -3.92454  -5.93084  -8.95362  11.4343
72  -3.56143  -6.43052  -8.52931  11.2599
73  -3.56143  -6.43052  -8.52931  11.2599
74  -2.29769  -4.94047  -8.00863  9.68637
75  -2.29769  -4.94047  -8.00863  9.68637
76  -2.29769  -4.94047  -8.00863  9.68637
77  -1.32292  -5.84956  -5.11374  7.88149
78  -0.532238  -5.59555  -3.94116  6.86485
79  -0.915501  -4.42261  -1.56824  4.7809
80  1.58063  -3.84998  -1.34181  4.37278
81  1.58063  -3.84998  -1.34181  4.37278
82  -0.384876  -3.06378  -1.6182  3.48618
83  -0.105432  0.140343  2.89789  2.90321
84  -1.26646  -0.723476  3.17315  3.49231
85  -1.26646  -0.723476  3.17315  3.49231
86  -1.26646  -0.723476  3.17315  3.49231
87  -1.90747  -1.8327  2.77203  3.83163
88  -1.90747  -1.8327  2.77203  3.83163
89  -1.90747  -1.8327  2.77203  3.83163
90  -1.90747  -1.8327  2.77203  3.83163
91  -1.90747  -1.8327  2.77203  3.83163
92  -0.0306955  -0.915075  3.52265  3.63969
