0 1  1  1  1.73205
1  1.19488  0.376246  0.190465  1.26711
2  1.00833  -0.81011  0.435459  1.36478
3  0.577516  -1.42306  0.307564  1.56628
4  0.577516  -1.42306  0.307564  1.56628
5  0.618627  -2.19157  -0.649747  2.36809
6  0.618627  -2.19157  -0.649747  2.36809
7  0.877082  -1.22111  -0.820237  1.71265
8  0.877082  -1.22111  -0.820237  1.71265
9  0.877082  -1.22111  -0.820237  1.71265
10  1.26013  -1.33469  -1.40418  2.31107
11  2.165  -0.788868  -1.77539  2.90887
12  2.165  -0.788868  -1.77539  2.90887
13  2.165  -0.788868  -1.77539  2.90887
14  2.165  -0.788868  -1.77539  2.90887
15  2.87504  -0.198832  -0.0408608  2.88219
16  3.00542  -0.141707  -0.153102  3.01265
17  3.00542  -0.141707  -0.153102  3.01265
18  1.96893  1.15232  0.0967482  2.2834
19  1.96893  1.15232  0.0967482  2.2834
20  1.75309  -0.208819  1.70078  2.45145
21  1.71411  -0.964536  0.806123  2.12564
22  1.71411  -0.964536  0.806123  2.12564
23  1.84385  1.01534  0.653593  2.20406
24  1.87501  0.152616  -0.390999  1.92141
25  1.87501  0.152616  -0.390999  1.92141
26  1.87501  0.152616  -0.390999  1.92141
27  1.87501  0.152616  -0.390999  1.92141
28  1.87501  0.152616  -0.390999  1.92141
29  1.87501  0.152616  -0.390999  1.92141
30  2.06929  0.0599613  -0.335857  2.09723
31  2.26115  -0.869741  -1.0988  2.66019
32  3.10404  -0.925002  -0.943726  3.37362
33  3.33532  -1.05165  -1.16068  3.68477
34  3.82352  -1.2103  -1.15255  4.17283
35  3.82352  -1.2103  -1.15255  4.17283
36  3.82352  -1.2103  -1.15255  4.17283
37  3.13472  -1.42397  -1.87203  3.91901
38  2.25526  -1.67962  -1.4064  3.14409
39  1.36779  -2.12327  -1.60685  2.9935
40  1.74506  -2.01761  -2.17529  3.44208
41  1.74506  -2.01761  -2.17529  3.44208
42  1.74506  -2.01761  -2.17529  3.44208
43  0.393955  -2.07674  -2.27588  3.10607
44  1.41061  -0.902898  -2.21587  2.77761
45  0.796882  -0.653325  -2.80563  2.98888
46  0.796882  -0.653325  -2.80563  2.98888
47  1.29991  0.115905  -3.61746  3.84567
48  1.5024  1.32325  -3.19738  3.77246
49  1.49607  -0.109092  -3.26164  3.59004
50  1.49607  -0.109092  -3.26164  3.59004
51  2.05581  0.473292  -2.97284  3.64529
52  2.54281  0.260084  -1.962  3.22226
53  1.80933  0.00445638  -1.45737  2.32328
54  1.80933  0.00445638  -1.45737  2.32328
55  1.80933  0.00445638  -1.45737  2.32328
56  0.523361  -0.0631739  -2.27536  2.33563
57  0.523361  -0.0631739  -2.27536  2.33563
58  0.662636  1.09002  -2.09489  2.45271
59  -0.628837  -0.299045  -2.17427  2.28305
60  -1.02798  -0.992996  -1.86693  2.35121
61  -1.02798  -0.992996  -1.86693  2.35121
62  -0.782279  -0.782457  -2.70087  2.91872
63  -1.0188  -0.545324  -2.66915  2.90855
64  -1.3314  -1.62986  -2.1214  2.98821
65  -2.25292  -1.37602  -1.51373  3.0431
66  -2.25292  -1.37602  -1.51373  3.0431
67  -3.02789  -1.01729  -1.69012  3.61379
68  -2.38042  -2.77776  -2.31721  4.33033
69  -2.47902  -3.66373  -3.43115  5.59832
70  -2.47902  -3.66373  -3.43115  5.59832
71  -2.47902  -3.66373  -3.43115  5.59832
72  -2.32643  -3.8737  -3.25285  5.56766
73  -2.32643  -3.8737  -3.25285  5.56766
74  -1.79539  -3.24756  -3.03405  4.79328
75  -1.79539  -3.24756  -3.03405  4.79328
76  -1.79539  -3.24756  -3.03405  4.79328
77  -1.38578  -3.62957  -1.81758  4.28927
78  -1.05353  -3.52283  -1.32485  3.90839
79  -1.21458  -3.02995  -0.327719  3.28073
80  -0.165673  -2.78932  -0.232567  2.8039
81  -0.165673  -2.78932  -0.232567  2.8039
82  -0.991604  -2.45895  -0.348712  2.6742
83  -0.874178  -1.11254  1.54901  2.09794
84  -1.36206  -1.47553  1.66468  2.60836
85  -1.36206  -1.47553  1.66468  2.60836
86  -1.36206  -1.47553  1.66468  2.60836
87  -1.63142  -1.94164  1.49612  2.94446
88  -1.63142  -1.94164  1.49612  2.94446
89  -1.63142  -1.94164  1.49612  2.94446
90  -1.63142  -1.94164  1.49612  2.94446
91  -2.34793  -0.700451  0.795037  2.57595
92  -1.55929  -0.314854  1.11046  1.94
