0 0  0  5.5  5.5
1  0.463756  -1.48438  3.57351  3.89723
2  0.0198269  -4.3076  4.15653  5.98604
3  -1.00541  -5.76627  3.85218  7.00714
4  -1.00541  -5.76627  3.85218  7.00714
5  -1.00541  -5.76627  3.85218  7.00714
6  -1.00541  -5.76627  3.85218  7.00714
7  -0.39035  -3.45682  3.44645  4.89694
8  -0.39035  -3.45682  3.44645  4.89694
9  3.52603  -0.0344553  4.39776  5.63688
10  4.43758  -0.304742  3.00813  5.36971
11  4.43758  -0.304742  3.00813  5.36971
12  4.43758  -0.304742  3.00813  5.36971
13  4.43758  -0.304742  3.00813  5.36971
14  2.84745  -0.0479387  0.966698  3.00745
15  2.84745  -0.0479387  0.966698  3.00745
16  3.15774  0.0880045  0.699592  3.2355
17  3.15774  0.0880045  0.699592  3.2355
18  0.691155  3.16746  1.29417  3.49075
19  0.691155  3.16746  1.29417  3.49075
20  0.177497  -0.0717047  5.11137  5.11495
21  0.0847324  -1.87012  2.98231  3.52118
22  0.0847324  -1.87012  2.98231  3.52118
23  0.0847324  -1.87012  2.98231  3.52118
24  0.0847324  -1.87012  2.98231  3.52118
25  0.0847324  -1.87012  2.98231  3.52118
26  0.0847324  -1.87012  2.98231  3.52118
27  0.0847324  -1.87012  2.98231  3.52118
28  0.0847324  -1.87012  2.98231  3.52118
29  0.0847324  -1.87012  2.98231  3.52118
30  0.547084  -2.09061  3.11353  3.78999
31  1.00365  -4.30307  1.29792  4.60525
32  3.00951  -4.43458  1.66696  5.61261
33  3.00951  -4.43458  1.66696  5.61261
34  4.1713  -4.81212  1.68632  6.58786
35  4.1713  -4.81212  1.68632  6.58786
36  4.1713  -4.81212  1.68632  6.58786
37  4.1713  -4.81212  1.68632  6.58786
38  2.0784  -5.4205  2.79438  6.44284
39  -0.0335486  -6.47626  2.31737  6.87846
40  -0.0335486  -6.47626  2.31737  6.87846
41  -0.0335486  -6.47626  2.31737  6.87846
42  -0.0335486  -6.47626  2.31737  6.87846
43  -3.24885  -6.61698  2.078  7.65882
44  -0.829464  -3.82353  2.2208  4.49882
45  -2.28998  -3.22961  0.817338  4.04258
46  -0.0890606  -4.61778  2.06898  5.06088
47  -0.0890606  -4.61778  2.06898  5.06088
48  0.392835  -1.74462  3.06866  3.55171
49  0.392835  -1.74462  3.06866  3.55171
50  0.392835  -1.74462  3.06866  3.55171
51  1.72488  -0.358687  3.75592  4.14859
52  1.72488  -0.358687  3.75592  4.14859
53  -0.0206066  -0.967015  4.95682  5.05031
54  -0.0206066  -0.967015  4.95682  5.05031
55  4.28153  1.22702  6.04044  7.50493
56  1.22124  1.06608  4.09383  4.40311
57  1.22124  1.06608  4.09383  4.40311
58  1.55268  3.81039  4.52331  6.11475
59  -1.5207  0.504767  4.33441  4.62108
60  -2.47056  -1.14666  5.0658  5.75159
61  -2.47056  -1.14666  5.0658  5.75159
62  -1.88585  -0.64563  3.08122  3.66977
63  -2.44872  -0.0813148  3.15671  3.99596
64  -2.44872  -0.0813148  3.15671  3.99596
65  -2.44872  -0.0813148  3.15671  3.99596
66  -2.44872  -0.0813148  3.15671  3.99596
67  -4.29293  0.772381  2.73696  5.14944
68  -2.75211  -3.41711  1.24465  4.56069
69  -2.98676  -5.52548  -1.40625  6.43655
70  -2.49313  -7.53163  -4.0321  8.89938
71  -2.49313  -7.53163  -4.0321  8.89938
72  -2.13002  -8.03131  -3.6078  9.05843
73  -2.13002  -8.03131  -3.6078  9.05843
74  -0.866279  -6.54126  -3.08712  7.28483
75  -0.866279  -6.54126  -3.08712  7.28483
76  -0.866279  -6.54126  -3.08712  7.28483
77  -0.866279  -6.54126  -3.08712  7.28483
78  -0.0755939  -6.28725  -1.91453  6.57272
79  -0.458857  -5.11431  0.458385  5.15527
80  2.03728  -4.54168  0.684821  5.02457
81  0.547643  -5.57486  3.04435  6.3755
82  -1.41786  -4.78866  2.76796  5.70992
83  -1.13842  -1.58454  7.28406  7.54084
84  -2.29945  -2.44836  7.55931  8.27195
85  -4.72659  -2.8253  5.31892  7.65597
86  -4.72659  -2.8253  5.31892  7.65597
87  -5.3676  -3.93453  4.9178  8.27505
88  -5.3676  -3.93453  4.9178  8.27505
89  -4.55082  -6.41008  4.84248  9.23302
90  -4.55082  -6.41008  4.84248  9.23302
91  -6.25594  -3.45637  3.17407  7.82036
92  -4.37916  -2.53875  3.92469  6.40512
93  -4.37916  -2.53875  3.92469  6.40512
94  -4.37916  -2.53875  3.92469  6.40512
95  -0.811921  -1.39329  3.21029  3.59256
96  -0.811921  -1.39329  3.21029  3.59256
97  2.62117  1.129  1.21344  3.10123
98  2.62117  1.129  1.21344  3.10123
99  2.62117  1.129  1.21344  3.10123
100  2.62117  1.129  1.21344  3.10123
101  2.62117  1.129  1.21344  3.10123
102  1.86615  1.58505  2.58498  3.56048
103  1.86615  1.58505  2.58498  3.56048
104  2.57721  0.305941  2.83475  3.84336
105  2.57721  0.305941  2.83475  3.84336
106  2.57721  0.305941  2.83475  3.84336
107  2.57721  0.305941  2.83475  3.84336
108  3.77954  -0.335081  2.52438  4.55737
109  1.99605  -2.23976  4.54328  5.44446
110  2.69256  -1.57324  2.17432  3.80166
111  2.69256  -1.57324  2.17432  3.80166
112  2.69256  -1.57324  2.17432  3.80166
113  2.69256  -1.57324  2.17432  3.80166
114  2.69256  -1.57324  2.17432  3.80166
115  2.69256  -1.57324  2.17432  3.80166
116  -0.178885  -1.07874  -0.840768  1.37934
117  -0.178885  -1.07874  -0.840768  1.37934
118  -0.702334  -2.04654  -2.29289  3.15261
119  -0.702334  -2.04654  -2.29289  3.15261
120  -0.19677  0.440332  -1.53998  1.61374
121  -0.19677  0.440332  -1.53998  1.61374
122  -0.19677  0.440332  -1.53998  1.61374
123  -0.19677  0.440332  -1.53998  1.61374
124  -2.07632  -1.97043  -2.95413  4.11347
125  -2.07632  -1.97043  -2.95413  4.11347
126  -2.8976  -1.0029  -1.54919  3.43539
127  -5.9737  -1.75419  -2.98754  6.90562
128  -5.9737  -1.75419  -2.98754  6.90562
129  -5.9737  -1.75419  -2.98754  6.90562
130  -5.70792  -0.691611  -1.94733  6.07049
131  -5.70792  -0.691611  -1.94733  6.07049
132  -2.75518  -2.16083  1.17888  3.69459
133  -0.729002  -2.94977  -3.52833  4.65636
134  -0.729002  -2.94977  -3.52833  4.65636
135  -0.729002  -2.94977  -3.52833  4.65636
136  -0.729002  -2.94977  -3.52833  4.65636
137  -0.729002  -2.94977  -3.52833  4.65636
138  -0.729002  -2.94977  -3.52833  4.65636
139  -0.729002  -2.94977  -3.52833  4.65636
140  0.669673  -4.84868  -7.27547  8.76873
141  0.669673  -4.84868  -7.27547  8.76873
142  -0.888339  -4.96549  -1.24634  5.19602
143  -0.888339  -4.96549  -1.24634  5.19602
144  -0.888339  -4.96549  -1.24634  5.19602
145  0.367177  -3.4151  -0.558005  3.47982
146  0.367177  -3.4151  -0.558005  3.47982
147  0.367177  -3.4151  -0.558005  3.47982
148  1.14439  -1.64129  -0.655361  2.10546
149  1.14439  -1.64129  -0.655361  2.10546
150  1.14439  -1.64129  -0.655361  2.10546
151  1.14439  -1.64129  -0.655361  2.10546
152  4.34837  -1.49498  2.54851  5.25721
153  5.08352  -0.899248  2.53262  5.75022
154  5.08352  -0.899248  2.53262  5.75022
