0 100  100  100  173.205
1  100.464  98.5156  98.0735  171.513
2  100.02  95.6924  98.6565  169.983
3  98.9946  94.2337  98.3522  168.384
4  99.3275  93.0026  95.2213  166.08
5  99.4253  91.1738  92.9432  163.818
6  100.433  88.0252  92.78  162.614
7  100.433  88.0252  92.78  162.614
8  100.433  88.0252  92.78  162.614
9  100.433  88.0252  92.78  162.614
10  101.344  87.7549  91.3904  162.246
11  101.344  87.7549  91.3904  162.246
12  101.344  87.7549  91.3904  162.246
13  101.344  87.7549  91.3904  162.246
14  99.7542  88.0117  89.349  160.25
15  99.7542  88.0117  89.349  160.25
16  100.064  88.1476  89.0819  160.37
17  100.064  88.1476  89.0819  160.37
18  97.5979  91.2271  89.6765  160.902
19  97.5979  91.2271  89.6765  160.902
20  97.0842  87.9879  93.4936  160.961
21  96.9915  86.1895  91.3646  158.693
22  96.9915  86.1895  91.3646  158.693
23  96.9915  86.1895  91.3646  158.693
24  97.0656  84.1365  88.8787  156.205
25  96.4016  80.9971  86.542  152.785
26  99.1127  80.2077  84.5835  153.006
27  99.1127  80.2077  84.5835  153.006
28  99.1127  80.2077  84.5835  153.006
29  100.65  79.6402  82.9207  152.803
30  101.112  79.4197  83.0519  153.065
31  101.569  77.2072  81.2363  151.25
32  103.575  77.0757  81.6053  152.734
33  104.125  76.7743  81.089  152.682
34  105.287  76.3968  81.1084  153.298
35  105.287  76.3968  81.1084  153.298
36  106.193  73.042  80.2997  151.856
37  104.554  72.5335  78.5875  149.561
38  102.461  71.9251  79.6956  148.401
39  100.349  70.8694  79.2186  146.178
40  101.247  71.1208  77.8658  146.192
41  102.851  68.7633  76.1265  145.265
42  101.838  67.0645  76.0907  143.73
43  98.6227  66.9238  75.8513  141.275
44  98.6227  66.9238  75.8513  141.275
45  97.1621  67.5177  74.4479  139.791
46  97.1621  67.5177  74.4479  139.791
47  98.3592  69.3483  72.5159  140.507
48  98.3592  69.3483  72.5159  140.507
49  98.3441  65.9396  72.363  138.766
50  98.3441  65.9396  72.363  138.766
51  98.3441  65.9396  72.363  138.766
52  98.3441  65.9396  72.363  138.766
53  96.5987  65.3313  73.5639  137.881
54  98.5954  62.9881  72.9052  137.854
55  98.5954  62.9881  72.9052  137.854
56  95.5351  62.8272  70.9586  134.571
57  95.5351  62.8272  70.9586  134.571
58  95.8665  65.5715  71.3881  136.331
59  92.7931  62.2659  71.1992  132.503
60  91.8433  60.6145  71.9306  131.466
61  94.3393  55.6837  65.4541  127.612
62  94.924  56.1847  63.4695  127.262
63  94.3611  56.749  63.545  127.132
