0 0  0  20  20
1  0.463756  -1.48438  18.0735  18.1403
2  0.0198269  -4.3076  18.6565  19.1474
3  -1.00541  -5.76627  18.3522  19.263
4  -0.672504  -6.99736  15.2213  16.7662
5  -0.574668  -8.82623  12.9432  15.6767
6  -0.574668  -8.82623  12.9432  15.6767
7  0.0403883  -6.51678  12.5375  14.13
8  0.0403883  -6.51678  12.5375  14.13
9  3.95677  -3.09442  13.4888  14.3937
10  4.86832  -3.36471  12.0991  13.4689
11  7.02168  -2.06579  11.2157  13.3927
12  7.86711  -1.99941  11.1883  13.8227
13  8.54839  0.592658  10.3061  13.403
14  6.95825  0.849461  8.26462  10.8371
15  6.95825  0.849461  8.26462  10.8371
16  7.26854  0.985405  7.99752  10.8519
17  7.26854  0.985405  7.99752  10.8519
18  4.80196  4.06486  8.5921  10.6492
19  4.80196  4.06486  8.5921  10.6492
20  4.2883  0.825695  12.4093  13.1553
21  4.19553  -0.972721  10.2802  11.1459
22  4.19553  -0.972721  10.2802  11.1459
23  4.50429  3.73888  9.91725  11.5161
24  4.57844  1.68582  7.43138  8.88985
25  3.91444  -1.45356  5.09467  6.58721
26  3.91444  -1.45356  5.09467  6.58721
27  3.91444  -1.45356  5.09467  6.58721
28  3.91444  -1.45356  5.09467  6.58721
29  3.91444  -1.45356  5.09467  6.58721
30  4.37679  -1.67406  5.2259  7.01917
31  4.83335  -3.88651  3.41029  7.07788
32  6.83921  -4.01802  3.77932  8.7865
33  7.38962  -4.31942  3.26302  9.1603
34  8.55141  -4.69697  3.28238  10.2938
35  8.55141  -4.69697  3.28238  10.2938
36  8.55141  -4.69697  3.28238  10.2938
37  6.91223  -5.20545  1.5702  8.79438
38  4.81933  -5.81383  2.67827  8.01247
39  2.70738  -6.86958  2.20126  7.70497
40  2.70738  -6.86958  2.20126  7.70497
41  2.70738  -6.86958  2.20126  7.70497
42  2.70738  -6.86958  2.20126  7.70497
43  -0.507914  -7.01031  1.96189  7.29736
44  1.91147  -4.21686  2.10469  5.0858
45  0.45095  -3.62293  0.701227  3.71762
46  0.45095  -3.62293  0.701227  3.71762
47  1.64802  -1.79236  -1.23074  2.72823
48  1.64802  -1.79236  -1.23074  2.72823
49  1.64802  -1.79236  -1.23074  2.72823
