0 -10  -10  -10  17.3205
1  -10  -10  -10  17.3205
2  -10.1346  -9.57761  -8.79443  16.4858
3  -9.21718  -7.19337  -9.55003  15.0965
4  -9.21718  -7.19337  -9.55003  15.0965
5  -9.21718  -7.19337  -9.55003  15.0965
6  -9.21718  -7.19337  -9.55003  15.0965
7  -9.257  -5.68781  -9.6727  14.5466
8  -9.257  -5.68781  -9.6727  14.5466
9  -8.57016  -5.21466  -12.1191  15.7325
10  -6.0308  -3.72083  -12.1081  14.0293
11  -4.93708  -4.48905  -11.2146  13.0497
12  -4.93708  -4.48905  -11.2146  13.0497
13  -4.93708  -4.48905  -11.2146  13.0497
14  -4.93708  -4.48905  -11.2146  13.0497
15  -2.47421  -1.90258  -9.37252  9.87854
16  -4.62745  -4.52812  -8.11759  10.3833
17  -1.77285  -5.12187  -9.45381  10.8973
18  -1.54853  -6.40258  -9.56242  11.6117
19  -1.54853  -6.40258  -9.56242  11.6117
20  -2.96544  -8.51658  -7.19712  11.538
21  -4.49662  -6.56617  -5.73435  9.80902
22  -6.25346  -8.57067  -4.70575  11.6063
23  -6.25346  -8.57067  -4.70575  11.6063
24  -6.25346  -8.57067  -4.70575  11.6063
25  -5.80644  -6.49089  -3.51995  9.39343
26  -5.80644  -6.49089  -3.51995  9.39343
27  -3.56073  -7.72322  -1.86223  8.70602
28  -1.619  -5.59966  -0.459198  5.84706
29  -3.02765  -3.50225  -0.178131  4.63294
30  -2.51078  -2.77532  1.02484  3.8803
31  -3.44196  -1.24626  -1.68339  4.02915
32  -3.44196  -1.24626  -1.68339  4.02915
33  -3.44196  -1.24626  -1.68339  4.02915
34  -1.71878  -3.54598  -2.58695  4.71386
35  -1.71878  -3.54598  -2.58695  4.71386
36  -1.71878  -3.54598  -2.58695  4.71386
37  0.187984  -2.68672  -4.42485  5.18007
38  0.187984  -2.68672  -4.42485  5.18007
39  -1.86112  0.121571  -2.51993  3.13506
40  -1.86112  0.121571  -2.51993  3.13506
41  -1.86112  0.121571  -2.51993  3.13506
42  -1.88576  2.4  -3.34901  4.53123
43  -0.158883  1.11728  -1.53181  1.90263
