0 100  100  100  173.205
1  97.7812  98.0591  101.35  171.606
2  97.6466  98.4815  102.556  172.485
3  97.6466  98.4815  102.556  172.485
4  99.2698  95.6658  100.606  170.669
5  97.9717  95.9354  97.7674  168.406
6  95.4118  97.4328  96.1984  166.885
7  95.4118  97.4328  96.1984  166.885
8  93.9882  95.8997  96.0325  165.084
9  94.675  96.3729  93.5862  164.346
10  97.2144  97.8667  93.5971  166.7
11  98.3081  97.0985  94.4906  167.395
12  99.357  94.736  92.2618  165.405
13  99.8113  96.7352  89.6321  165.39
14  99.8113  96.7352  89.6321  165.39
15  102.274  99.3217  91.4742  169.388
16  100.121  96.6961  92.7291  167.251
17  102.976  96.1024  91.3929  167.906
18  103.2  94.8217  91.2843  167.255
19  101.522  91.9867  89.0161  163.378
20  100.105  89.8727  91.3814  162.631
21  100.105  89.8727  91.3814  162.631
22  98.3487  87.8682  92.41  161.037
23  97.7601  86.8501  95.2704  161.791
24  97.389  84.0788  97.3035  161.313
25  97.389  84.0788  97.3035  161.313
26  97.389  84.0788  97.3035  161.313
27  99.6347  82.8465  98.9612  163.046
28  99.6347  82.8465  98.9612  163.046
29  98.2261  84.9439  99.2423  163.441
30  98.2261  84.9439  99.2423  163.441
31  97.2949  86.473  96.534  162.058
32  97.2949  86.473  96.534  162.058
33  94.6875  83.9905  94.1051  157.721
34  96.4107  81.6908  93.2015  157.019
35  96.067  84.2582  95.6485  159.615
36  93.5852  82.9031  98.0144  158.865
37  95.4919  83.7624  96.1765  159.326
38  92.9052  81.5976  93.3127  154.909
39  92.9052  81.5976  93.3127  154.909
40  92.9052  81.5976  93.3127  154.909
41  93.4839  80.1185  94.8316  155.407
42  93.4592  82.3969  94.0025  156.078
43  93.4592  82.3969  94.0025  156.078
44  93.4592  82.3969  94.0025  156.078
45  90.5196  83.3172  92.8051  154.105
46  91.2504  84.0876  90.5144  153.591
47  91.2504  84.0876  90.5144  153.591
48  91.2504  84.0876  90.5144  153.591
49  91.2504  84.0876  90.5144  153.591
50  91.9451  82.0278  90.742  153.025
51  92.1812  81.2961  91.6998  153.347
52  90.3161  78.4065  91.2645  150.445
53  88.6035  75.6583  90.2435  147.372
54  88.6778  75.4782  90.3629  147.398
55  86.0488  75.8823  92.737  147.522
56  84.8291  76.4362  91.1297  146.093
57  82.334  74.1894  88.2886  141.696
58  80.1536  75.1453  87.3798  140.38
59  77.586  72.3378  87.7046  137.639
60  79.0644  69.4138  87.0601  136.561
61  78.8546  67.6676  88.9425  136.776
62  78.8546  67.6676  88.9425  136.776
63  78.8546  67.6676  88.9425  136.776
64  77.7772  67.6242  90.3373  137.052
65  76.834  67.6046  91.8788  137.534
66  77.2056  65.7884  92.8622  137.522
67  75.0215  66.9464  92.8036  136.83
68  74.6379  67.8984  92.8459  137.118
69  73.9809  65.5975  89.995  133.699
70  72.3775  65.2772  89.2028  132.124
71  71.835  62.8848  91.7729  132.427
72  73.4498  63.8255  89.5103  132.214
73  74.042  63.1718  89.9091  132.501
74  74.042  63.1718  89.9091  132.501
75  71.1603  62.2251  90.1127  130.599
76  71.1603  62.2251  90.1127  130.599
77  71.1603  62.2251  90.1127  130.599
78  70.5955  61.5683  88.1698  128.64
79  72.8009  60.449  86.0719  127.916
80  72.8009  60.449  86.0719  127.916
81  72.8009  60.449  86.0719  127.916
82  72.2608  57.804  88.2824  127.893
83  70.1407  55.0682  85.5938  123.606
84  70.1407  55.0682  85.5938  123.606
85  68.7644  53.6077  87.9882  123.872
86  66.4193  52.3034  85.9441  120.555
87  66.4193  52.3034  85.9441  120.555
88  66.4193  52.3034  85.9441  120.555
89  66.0109  54.4921  83.8977  119.857
90  66.0109  54.4921  83.8977  119.857
91  66.0109  54.4921  83.8977  119.857
92  66.0715  53.8548  82.9168  118.916
93  66.0715  53.8548  82.9168  118.916
94  68.5665  54.2412  83.1651  120.664
95  68.5665  54.2412  83.1651  120.664
96  68.5665  54.2412  83.1651  120.664
97  66.2357  55.8437  82.8558  119.878
98  67.5273  55.3511  82.9152  120.41
99  65.8849  57.806  81.3604  119.59
100  65.8849  57.806  81.3604  119.59
101  64.3583  59.4747  83.7535  121.218
102  62.5449  57.1  86.4783  121.04
103  64.5371  57.4762  83.6198  120.253
104  64.5371  57.4762  83.6198  120.253
105  64.2378  54.9699  86.4549  120.924
106  64.2378  54.9699  86.4549  120.924
107  67.1634  54.8604  85.0985  121.5
108  69.27  52.3992  82.9704  120.117
109  69.6102  50.2668  80.5182  117.709
110  67.119  52.535  79.7119  116.7
111  65.7608  51.158  80.6883  115.984
112  66.5723  49.6623  78.1169  114.02
113  66.5346  49.6542  76.2066  112.694
114  68.9326  47.8474  74.9278  112.496
115  69.7296  47.2097  74.9994  112.765
116  69.7296  47.2097  74.9994  112.765
117  68.5172  45.201  72.749  109.682
118  66.4469  44.6478  75.0916  109.76
119  66.417  46.9462  76.1998  111.452
120  66.313  45.5782  76.9511  111.338
121  67.0787  45.604  74.3979  110.065
122  67.0787  45.604  74.3979  110.065
123  66.5812  45.9314  72.057  108.328
124  64.6055  46.78  70.9634  106.762
125  65.759  49.2912  69.4143  107.574
126  64.6472  48.5567  71.1041  107.67
127  63.1374  46.5132  72.2965  106.661
128  62.6221  46.4408  71.6624  105.895
129  62.6221  46.4408  71.6624  105.895
130  62.6221  46.4408  71.6624  105.895
131  62.6221  46.4408  71.6624  105.895
132  63.7606  48.1422  69.17  105.677
133  64.2298  48.9938  67.9143  105.538
134  62.1308  46.3977  65.6609  101.609
135  63.9829  48.7979  64.7702  103.297
136  66.5298  47.1406  63.1189  103.114
137  63.5929  47.0866  60.3379  99.5082
138  66.3682  48.777  60.7525  102.346
139  63.8071  51.4144  62.762  103.218
140  61.2537  51.5618  61.1994  100.777
141  60.0894  51.9026  60.3703  99.7456
142  60.8592  49.4079  61.0398  99.3521
143  61.0675  46.9726  58.2503  96.5855
144  62.4112  47.7511  55.9202  96.4489
145  64.9561  45.5106  58.5331  98.573
146  65.6109  43.8187  58.0983  97.981
147  65.6077  41.617  59.8365  98.065
148  66.0404  41.7572  59.2012  98.0295
149  66.0404  41.7572  59.2012  98.0295
150  64.8941  43.028  58.4845  97.3812
151  63.2922  45.9196  56.8534  96.6789
152  61.3907  46.2273  57.8867  96.2115
153  59.0517  46.1459  57.4703  94.4424
154  61.5236  47.5634  54.8  95.134
155  61.5236  47.5634  54.8  95.134
156  58.6899  46.2912  53.6582  92.014
157  59.6873  44.2511  52.4051  90.9232
158  59.6873  44.2511  52.4051  90.9232
159  60.9163  41.325  52.0012  90.1259
160  60.9971  41.2777  54.436  91.5848
