0 0  1  6  6.08276
1  0  1  6  6.08276
2  -0.134566  1.42239  7.20557  7.34585
3  -0.134566  1.42239  7.20557  7.34585
4  1.4886  -1.39332  5.25532  5.63699
5  0.190486  -1.12368  2.41705  2.67228
6  0.190486  -1.12368  2.41705  2.67228
7  0.150657  0.38188  2.29438  2.33082
8  0.150657  0.38188  2.29438  2.33082
9  0.150657  0.38188  2.29438  2.33082
10  2.69003  1.8757  2.30531  4.00861
11  3.78374  1.10749  3.1988  5.07696
12  3.78374  1.10749  3.1988  5.07696
13  3.78374  1.10749  3.1988  5.07696
14  3.78374  1.10749  3.1988  5.07696
15  6.24661  3.69395  5.04092  8.83608
16  4.09338  1.06841  6.29585  7.58518
17  4.09338  1.06841  6.29585  7.58518
18  4.3177  -0.212295  6.18724  7.54782
19  2.64024  -3.04728  3.91906  5.6228
20  1.22333  -5.16128  6.28436  8.22366
21  -0.307848  -3.21087  7.74713  8.39181
22  -2.06468  -5.21537  8.77573  10.4152
23  -2.06468  -5.21537  8.77573  10.4152
24  -2.06468  -5.21537  8.77573  10.4152
25  -1.61767  -3.13559  9.96153  10.5679
26  -1.61767  -3.13559  9.96153  10.5679
27  0.628039  -4.36792  11.6193  12.429
28  2.56977  -2.24436  13.0223  13.4618
29  1.16112  -0.146948  13.3033  13.3547
30  1.16112  -0.146948  13.3033  13.3547
31  0.229936  1.38211  10.5951  10.6874
32  0.229936  1.38211  10.5951  10.6874
33  -2.37744  -1.10032  8.16615  8.57606
34  -0.654257  -3.40004  7.26259  8.04571
35  -0.997995  -0.832638  9.70954  9.79614
36  -0.997995  -0.832638  9.70954  9.79614
37  0.908771  0.0266181  7.87164  7.92397
38  -1.67793  -2.13818  5.00785  5.69787
39  -1.67793  -2.13818  5.00785  5.69787
40  1.22944  0.165457  4.69156  4.8528
41  1.22944  0.165457  4.69156  4.8528
42  1.2048  2.44389  3.86248  4.72683
43  1.2048  2.44389  3.86248  4.72683
44  1.2048  2.44389  3.86248  4.72683
45  1.2048  2.44389  3.86248  4.72683
46  1.2048  2.44389  3.86248  4.72683
47  1.2048  2.44389  3.86248  4.72683
48  1.2048  2.44389  3.86248  4.72683
49  1.2048  2.44389  3.86248  4.72683
50  1.89948  0.384129  4.09006  4.52594
51  2.13559  -0.347611  5.04786  5.49203
52  0.270438  -3.2372  4.6126  5.64169
53  0.270438  -3.2372  4.6126  5.64169
54  0.344776  -3.41727  4.73201  5.84709
55  -2.28419  -3.01317  7.10611  8.04944
56  -3.50396  -2.45927  5.49884  6.96872
57  -3.50396  -2.45927  5.49884  6.96872
58  -5.68439  -1.50338  4.59009  7.45932
59  -5.68439  -1.50338  4.59009  7.45932
60  -5.68439  -1.50338  4.59009  7.45932
61  -5.68439  -1.50338  4.59009  7.45932
62  -5.68439  -1.50338  4.59009  7.45932
63  -5.05733  0.237198  3.3481  6.06981
64  -6.13471  0.193795  4.74294  7.75679
65  -6.13471  0.193795  4.74294  7.75679
66  -5.7631  -1.62241  5.72635  8.28472
67  -5.7631  -1.62241  5.72635  8.28472
68  -6.14671  -0.670454  5.76861  8.45626
69  -6.80363  -2.9713  2.91772  7.97691
70  -6.80363  -2.9713  2.91772  7.97691
71  -6.80363  -2.9713  2.91772  7.97691
72  -5.18887  -2.03063  0.655075  5.61043
73  -4.59663  -2.68434  1.05384  5.42634
74  -3.16146  -2.01073  2.80562  4.68074
75  -3.16146  -2.01073  2.80562  4.68074
76  -3.16146  -2.01073  2.80562  4.68074
77  -3.16146  -2.01073  2.80562  4.68074
78  -3.16146  -2.01073  2.80562  4.68074
79  -3.16146  -2.01073  2.80562  4.68074
80  -0.911177  -0.679032  3.8298  3.99483
81  1.16477  1.77862  4.62432  5.08965
82  1.16477  1.77862  4.62432  5.08965
83  -0.955259  -0.9572  1.93573  2.36132
84  1.10327  -0.120704  3.76128  3.92161
85  1.10327  -0.120704  3.76128  3.92161
86  -1.24189  -1.42503  1.71716  2.55375
87  -1.24189  -1.42503  1.71716  2.55375
88  -1.24189  -1.42503  1.71716  2.55375
89  -1.24189  -1.42503  1.71716  2.55375
90  0.0838909  1.4278  3.38747  3.67704
91  0.0838909  1.4278  3.38747  3.67704
92  0.144493  0.790537  2.40657  2.53721
93  0.144493  0.790537  2.40657  2.53721
94  2.63946  1.17688  2.6548  3.92425
95  2.63946  1.17688  2.6548  3.92425
96  2.63946  1.17688  2.6548  3.92425
97  0.30875  2.77942  2.34555  3.64995
98  1.60029  2.28679  2.40498  3.68433
99  1.60029  2.28679  2.40498  3.68433
100  1.60029  2.28679  2.40498  3.68433
101  0.0737557  3.9555  4.79811  6.21878
102  0.0737557  3.9555  4.79811  6.21878
103  2.06594  4.33165  1.93959  5.17623
104  3.16162  4.00789  2.95632  5.89905
105  2.86235  1.50167  5.79142  6.63239
106  2.86235  1.50167  5.79142  6.63239
107  5.788  1.39218  4.43503  7.42352
108  5.788  1.39218  4.43503  7.42352
109  6.12814  -0.74026  1.98283  6.48334
110  3.63698  1.52796  1.17655  4.11662
111  2.27876  0.150975  2.15293  3.13857
112  2.27876  0.150975  2.15293  3.13857
113  2.27876  0.150975  2.15293  3.13857
114  2.27876  0.150975  2.15293  3.13857
115  3.07585  -0.486676  2.22445  3.82699
116  3.07585  -0.486676  2.22445  3.82699
117  3.07585  -0.486676  2.22445  3.82699
118  1.00553  -1.03988  4.56708  4.79069
119  0.975596  1.25861  5.67524  5.89442
120  0.871601  -0.109396  6.42657  6.48633
121  1.63737  -0.083591  3.87343  4.20611
122  1.63737  -0.083591  3.87343  4.20611
123  1.13987  0.243763  1.5325  1.92543
124  1.13987  0.243763  1.5325  1.92543
125  1.13987  0.243763  1.5325  1.92543
126  0.0281243  -0.490753  3.22233  3.25961
127  0.0281243  -0.490753  3.22233  3.25961
128  -0.487157  -0.563195  2.58825  2.69324
129  -0.487157  -0.563195  2.58825  2.69324
130  -0.487157  -0.563195  2.58825  2.69324
131  0.473151  0.283282  3.2062  3.25328
132  0.473151  0.283282  3.2062  3.25328
133  0.942384  1.13484  1.9505  2.44548
134  0.942384  1.13484  1.9505  2.44548
