0 0  0  20  20
1  0  0  20  20
2  -0.134566  0.422387  21.2056  21.2102
3  0.782825  2.80663  20.45  20.6565
4  2.40599  -0.00907942  18.4997  18.6555
5  1.10788  0.260565  15.6615  15.7027
6  -1.45202  1.75793  14.0924  14.2757
7  -1.49185  3.26349  13.9697  14.4232
8  -2.91544  1.73038  13.8039  14.2141
9  -2.2286  2.20354  11.3576  11.782
10  0.310769  3.69736  11.3685  11.9587
11  1.40448  2.92914  12.262  12.685
12  2.45336  0.566645  10.0332  10.3443
13  2.9077  2.56587  7.40345  8.3576
14  2.9077  2.56587  7.40345  8.3576
15  5.37057  5.15234  9.24557  11.8689
16  3.21734  2.5268  10.5005  11.2693
17  6.07193  1.93305  9.16427  11.1619
18  6.29625  0.652341  9.05567  11.0487
19  4.6188  -2.18265  6.78749  8.49513
20  3.20188  -4.29665  9.15279  10.606
21  1.67071  -2.34623  10.6156  10.9994
22  -0.0861301  -4.35074  11.6442  12.4307
23  -0.0861301  -4.35074  11.6442  12.4307
24  -0.0861301  -4.35074  11.6442  12.4307
25  -0.0861301  -4.35074  11.6442  12.4307
26  -0.0861301  -4.35074  11.6442  12.4307
27  2.15958  -5.58307  13.3019  14.5868
28  4.10131  -3.4595  14.7049  15.6532
29  2.69266  -1.3621  14.986  15.2868
30  2.69266  -1.3621  14.986  15.2868
31  1.76148  0.166965  12.2777  12.4046
32  1.76148  0.166965  12.2777  12.4046
33  -0.845895  -2.31546  9.84877  10.1526
34  0.877284  -4.61519  8.94521  10.1038
35  0.533546  -2.04779  11.3922  11.587
36  0.533546  -2.04779  11.3922  11.587
37  2.44031  -1.18853  9.55426  9.93236
38  -0.146387  -3.35332  6.69047  7.48522
39  -0.146387  -3.35332  6.69047  7.48522
40  2.76098  -1.04969  6.37419  7.02532
41  2.76098  -1.04969  6.37419  7.02532
42  2.73634  1.22874  5.54511  6.30441
43  2.73634  1.22874  5.54511  6.30441
44  2.73634  1.22874  5.54511  6.30441
45  -0.203275  2.14906  4.34773  4.85413
46  -0.203275  2.14906  4.34773  4.85413
47  -0.203275  2.14906  4.34773  4.85413
48  -0.203275  2.14906  4.34773  4.85413
49  -0.203275  2.14906  4.34773  4.85413
50  0.491409  0.0893048  4.5753  4.60248
51  0.727513  -0.642435  5.5331  5.61758
52  -1.13764  -3.53203  5.09784  6.30535
53  -1.13764  -3.53203  5.09784  6.30535
54  -1.0633  -3.71209  5.21725  6.49076
55  -3.69227  -3.30799  7.59135  9.06666
56  -4.91204  -2.7541  5.98408  8.2172
57  -4.91204  -2.7541  5.98408  8.2172
58  -7.09247  -1.79821  5.07534  8.90481
59  -7.09247  -1.79821  5.07534  8.90481
60  -5.614  -4.7222  4.43078  8.57018
61  -5.614  -4.7222  4.43078  8.57018
62  -5.614  -4.7222  4.43078  8.57018
63  -4.98694  -2.98162  3.18879  6.62782
64  -6.06432  -3.02502  4.58363  8.18147
65  -6.06432  -3.02502  4.58363  8.18147
66  -5.69271  -4.84122  5.56703  9.3186
67  -5.69271  -4.84122  5.56703  9.3186
68  -6.07632  -3.88927  5.6093  9.1385
69  -6.07632  -3.88927  5.6093  9.1385
70  -6.07632  -3.88927  5.6093  9.1385
71  -6.07632  -3.88927  5.6093  9.1385
72  -4.46156  -2.94859  3.34666  6.30871
73  -3.86932  -3.6023  3.74542  6.47892
74  -2.43415  -2.9287  5.4972  6.68741
75  -2.43415  -2.9287  5.4972  6.68741
76  -2.43415  -2.9287  5.4972  6.68741
77  -2.43415  -2.9287  5.4972  6.68741
78  -2.99885  -3.5855  3.55428  5.87212
79  -2.99885  -3.5855  3.55428  5.87212
80  -0.748574  -2.2538  4.57846  5.15774
81  1.32737  0.203855  5.37299  5.53827
82  1.32737  0.203855  5.37299  5.53827
83  -0.792657  -2.53196  2.6844  3.77427
84  1.26587  -1.69547  4.50994  4.98163
85  1.26587  -1.69547  4.50994  4.98163
86  -1.07928  -2.9998  2.46583  4.03038
87  -1.07928  -2.9998  2.46583  4.03038
88  -0.581614  -0.643559  0.954787  1.28998
89  -0.581614  -0.643559  0.954787  1.28998
90  0.744163  2.20928  2.62509  3.51081
91  0.744163  2.20928  2.62509  3.51081
92  0.804766  1.57201  1.6442  2.41293
93  0.804766  1.57201  1.6442  2.41293
94  3.29973  1.95835  1.89242  4.27839
95  3.29973  1.95835  1.89242  4.27839
96  3.29973  1.95835  1.89242  4.27839
97  0.969023  3.56089  1.58318  4.01565
98  2.26057  3.06826  1.6426  4.15
99  2.26057  3.06826  1.6426  4.15
100  1.3455  2.33392  4.48924  5.23554
101  1.3455  2.33392  4.48924  5.23554
102  1.3455  2.33392  4.48924  5.23554
103  1.3455  2.33392  4.48924  5.23554
104  2.44118  2.01016  5.50597  6.34947
105  2.44118  2.01016  5.50597  6.34947
106  2.44118  2.01016  5.50597  6.34947
107  5.36683  1.90068  4.14958  7.04517
108  5.36683  1.90068  4.14958  7.04517
109  5.70697  -0.231764  1.69737  5.95855
110  3.21582  2.03646  0.89109  3.90931
111  1.8576  0.659472  1.86747  2.71533
112  1.8576  0.659472  1.86747  2.71533
113  1.8576  0.659472  1.86747  2.71533
114  1.8576  0.659472  1.86747  2.71533
115  2.65469  0.021821  1.93899  3.28748
116  2.65469  0.021821  1.93899  3.28748
117  2.65469  0.021821  1.93899  3.28748
118  0.584364  -0.531381  4.28163  4.35387
119  0.55443  1.76711  5.38978  5.69911
120  0.450436  0.399101  6.14112  6.17053
121  1.2162  0.424906  3.58797  3.81225
122  1.2162  0.424906  3.58797  3.81225
123  0.718703  0.75226  1.24705  1.62405
