0 0  0  5.5  5.5
1  0  0  5.5  5.5
2  -0.134566  0.422387  6.70557  6.72021
3  0.782825  2.80663  5.94997  6.62511
4  2.40599  -0.00907942  3.99972  4.66761
5  1.10788  0.260565  1.16145  1.62612
6  1.10788  0.260565  1.16145  1.62612
7  1.10788  0.260565  1.16145  1.62612
8  -0.31571  -1.27254  0.995615  1.64629
9  0.37113  -0.799385  -1.45074  1.69746
10  2.9105  0.694439  -1.43981  3.32059
11  2.9105  0.694439  -1.43981  3.32059
12  2.9105  0.694439  -1.43981  3.32059
13  3.36484  2.69367  -4.06958  5.92786
14  3.36484  2.69367  -4.06958  5.92786
15  5.82771  5.28013  -2.22746  8.17335
16  3.67448  2.65459  -0.972534  4.63621
17  6.52907  2.06084  -2.30876  7.22539
18  6.7534  0.780135  -2.41736  7.2153
19  5.07594  -2.05485  -4.68554  7.20707
20  3.65902  -4.16885  -2.32024  6.01259
21  2.12785  -2.21844  -0.857471  3.19131
22  2.12785  -2.21844  -0.857471  3.19131
23  1.53933  -3.23651  2.00291  4.10563
24  1.53933  -3.23651  2.00291  4.10563
25  1.98634  -1.15673  3.18872  3.93084
26  1.98634  -1.15673  3.18872  3.93084
27  4.23205  -2.38906  4.84643  6.86337
28  6.17378  -0.265495  6.24947  8.78874
29  4.76513  1.83191  6.53053  8.28916
30  4.76513  1.83191  6.53053  8.28916
31  3.83395  3.36097  3.8223  6.37223
32  2.14716  3.33914  5.81269  7.039
33  -0.460209  0.856706  3.38372  3.52069
34  -0.460209  0.856706  3.38372  3.52069
35  -0.803946  3.42411  5.83067  6.80937
36  -0.803946  3.42411  5.83067  6.80937
37  1.10282  4.28336  3.99277  5.95866
38  -1.48388  2.11857  1.12897  2.8222
39  -1.48388  2.11857  1.12897  2.8222
40  -1.48388  2.11857  1.12897  2.8222
41  -0.905243  0.639445  2.64783  2.87043
42  -0.929884  2.91788  1.81875  3.56182
43  0.796997  1.63516  3.63595  4.0656
44  0.796997  1.63516  3.63595  4.0656
45  0.796997  1.63516  3.63595  4.0656
46  0.796997  1.63516  3.63595  4.0656
47  0.796997  1.63516  3.63595  4.0656
48  0.796997  1.63516  3.63595  4.0656
49  0.796997  1.63516  3.63595  4.0656
50  1.49168  -0.424603  3.86353  4.1632
51  1.72778  -1.15634  4.82133  5.25048
52  -0.137367  -4.04594  4.38607  5.96876
53  -0.137367  -4.04594  4.38607  5.96876
54  -0.0630291  -4.226  4.50548  6.17757
55  -2.692  -3.8219  6.87958  8.3176
56  -3.91177  -3.268  5.27231  7.33342
57  -3.91177  -3.268  5.27231  7.33342
58  -6.0922  -2.31211  4.36356  7.84229
59  -6.0922  -2.31211  4.36356  7.84229
60  -6.0922  -2.31211  4.36356  7.84229
61  -6.0922  -2.31211  4.36356  7.84229
62  -6.0922  -2.31211  4.36356  7.84229
63  -5.46513  -0.571534  3.12157  6.31969
64  -6.54252  -0.614937  4.51641  7.97375
65  -6.54252  -0.614937  4.51641  7.97375
66  -6.17091  -2.43114  5.49982  8.61618
67  -6.17091  -2.43114  5.49982  8.61618
68  -6.55451  -1.47919  5.54208  8.71001
69  -6.55451  -1.47919  5.54208  8.71001
70  -6.55451  -1.47919  5.54208  8.71001
71  -6.55451  -1.47919  5.54208  8.71001
72  -4.93976  -0.538511  3.27944  5.95365
73  -4.34751  -1.19222  3.6782  5.8182
74  -2.91234  -0.518618  5.42998  6.18347
75  -2.91234  -0.518618  5.42998  6.18347
76  -2.91234  -0.518618  5.42998  6.18347
77  -2.91234  -0.518618  5.42998  6.18347
78  -3.47705  -1.17542  3.48706  5.06271
79  -1.2717  -2.29473  1.38919  2.96865
80  0.978578  -0.963032  2.41337  2.77658
81  3.05452  1.49462  3.2079  4.67489
82  2.51439  -1.15033  5.41837  6.0831
83  2.51439  -1.15033  5.41837  6.0831
84  2.51439  -1.15033  5.41837  6.0831
85  2.51439  -1.15033  5.41837  6.0831
86  0.169233  -2.45465  3.37425  4.17607
87  0.169233  -2.45465  3.37425  4.17607
88  0.666903  -0.0984163  1.86321  1.98141
89  0.666903  -0.0984163  1.86321  1.98141
90  0.666903  -0.0984163  1.86321  1.98141
91  0.666903  -0.0984163  1.86321  1.98141
92  0.666903  -0.0984163  1.86321  1.98141
93  0.423132  1.94679  2.98371  3.5877
94  2.9181  2.33314  3.23194  4.94007
95  2.9181  2.33314  3.23194  4.94007
96  2.9181  2.33314  3.23194  4.94007
97  0.587389  3.93568  2.92269  4.93728
98  1.87893  3.44304  2.98212  4.92727
99  1.87893  3.44304  2.98212  4.92727
100  1.87893  3.44304  2.98212  4.92727
101  0.352395  5.11176  5.37525  7.42614
102  -1.46107  2.73708  8.09998  8.67386
103  0.53112  3.11323  5.24146  6.11941
104  1.6268  2.78947  6.25818  7.04219
105  1.6268  2.78947  6.25818  7.04219
106  1.6268  2.78947  6.25818  7.04219
107  4.55245  2.67998  4.90179  7.20657
