0 -10  -10  -10  17.3205
1  -10  -10  -10  17.3205
2  -10.1865  -11.1864  -9.75501  18.0017
3  -10.6174  -11.7993  -9.8829  18.6982
4  -10.6174  -11.7993  -9.8829  18.6982
5  -10.5762  -12.5678  -10.8402  19.6804
6  -10.5762  -12.5678  -10.8402  19.6804
7  -10.3178  -11.5974  -11.0107  19.0313
8  -8.8877  -11.5115  -10.6974  18.0538
9  -7.24199  -10.0734  -10.2977  16.1233
10  -6.85895  -10.1869  -10.8816  16.4082
11  -5.95408  -9.64112  -11.2528  15.9696
12  -5.59882  -9.61323  -11.2644  15.8318
13  -5.31254  -8.52401  -11.6351  15.3707
14  -5.31254  -8.52401  -11.6351  15.3707
15  -4.60249  -7.93397  -9.90058  13.4964
16  -4.47211  -7.87684  -10.0128  13.5019
17  -4.09083  -7.03022  -10.763  13.4908
18  -5.12732  -5.73619  -10.5132  13.0277
19  -3.62051  -5.49818  -10.2126  12.1505
20  -3.83635  -6.85932  -8.60858  11.6566
21  -3.83635  -6.85932  -8.60858  11.6566
22  -3.26805  -6.44063  -8.16184  10.8985
23  -3.13831  -4.46076  -8.31437  9.94365
24  -3.13831  -4.46076  -8.31437  9.94365
25  -3.13831  -4.46076  -8.31437  9.94365
26  -3.13831  -4.46076  -8.31437  9.94365
27  -2.99501  -3.69998  -7.47423  8.86138
28  -2.49253  -3.99639  -7.00791  8.44362
29  -2.49253  -3.99639  -7.00791  8.44362
30  -2.29825  -4.08905  -6.95277  8.38709
31  -2.10639  -5.01875  -7.71571  9.44229
32  -1.26351  -5.07401  -7.56064  9.19267
33  -1.03222  -5.20066  -7.77759  9.41293
34  -0.54402  -5.35931  -7.76946  9.45424
35  -0.54402  -5.35931  -7.76946  9.45424
36  -0.54402  -5.35931  -7.76946  9.45424
37  -0.54402  -5.35931  -7.76946  9.45424
38  -1.42348  -5.61496  -7.30383  9.32202
39  -1.42348  -5.61496  -7.30383  9.32202
40  -1.04621  -5.5093  -7.87228  9.66539
41  -1.04621  -5.5093  -7.87228  9.66539
42  -1.04621  -5.5093  -7.87228  9.66539
43  -2.39732  -5.56844  -7.97286  10.016
44  -1.38066  -4.39459  -7.91285  9.15598
45  -1.99439  -4.14502  -8.50261  9.66712
46  -1.06953  -4.72835  -7.97665  9.33425
47  -0.56651  -3.95912  -8.78849  9.65573
48  -0.364011  -2.75178  -8.36841  8.81675
49  -0.370346  -4.18412  -8.43267  9.42093
50  -0.370346  -4.18412  -8.43267  9.42093
51  0.189397  -3.60173  -8.14387  8.90679
52  0.676395  -3.81494  -7.13303  8.11735
53  -0.0570809  -4.07057  -6.6284  7.77872
54  -0.0570809  -4.07057  -6.6284  7.77872
55  1.75073  -3.14861  -6.17305  7.1474
56  1.75073  -3.14861  -6.17305  7.1474
57  1.75073  -3.14861  -6.17305  7.1474
58  1.89001  -1.99541  -5.99257  6.59278
59  1.89001  -1.99541  -5.99257  6.59278
60  1.49086  -2.68936  -5.68523  6.46353
61  1.49086  -2.68936  -5.68523  6.46353
62  1.73656  -2.47882  -6.51918  7.18748
63  1.50004  -2.24169  -6.48745  7.02583
64  1.18744  -3.32623  -5.9397  6.91042
65  0.265919  -3.07239  -5.33204  6.15962
66  -0.319827  -3.8576  -4.66336  6.06055
67  -1.09479  -3.49886  -4.83974  6.07155
68  -1.09479  -3.49886  -4.83974  6.07155
69  -1.09479  -3.49886  -4.83974  6.07155
70  -1.09479  -3.49886  -4.83974  6.07155
71  -1.09479  -3.49886  -4.83974  6.07155
72  -0.942204  -3.70884  -4.66145  6.03094
73  -0.942204  -3.70884  -4.66145  6.03094
74  -0.411163  -3.0827  -4.44265  5.42303
75  -0.411163  -3.0827  -4.44265  5.42303
76  -0.411163  -3.0827  -4.44265  5.42303
77  -0.00155459  -3.46471  -3.22618  4.73418
78  0.330701  -3.35797  -2.73344  4.34247
79  0.169649  -2.86509  -1.73632  3.35444
80  1.21856  -2.62446  -1.64116  3.32657
81  0.592593  -3.05862  -0.649658  3.18251
82  -0.233338  -2.72824  -0.765802  2.84328
83  -0.115912  -1.38183  1.13192  1.79001
84  -0.603791  -1.74482  1.24759  2.22832
85  -0.603791  -1.74482  1.24759  2.22832
86  -0.603791  -1.74482  1.24759  2.22832
87  -0.873152  -2.21093  1.07903  2.61054
88  -0.873152  -2.21093  1.07903  2.61054
89  -0.873152  -2.21093  1.07903  2.61054
90  -0.873152  -2.21093  1.07903  2.61054
91  -1.58967  -0.969743  0.377947  1.90007
92  -0.80102  -0.584146  0.693365  1.2098
93  -0.80102  -0.584146  0.693365  1.2098
94  -0.80102  -0.584146  0.693365  1.2098
95  0.69798  -0.10281  0.393166  0.807667
96  0.69798  -0.10281  0.393166  0.807667
97  0.69798  -0.10281  0.393166  0.807667
98  0.69798  -0.10281  0.393166  0.807667
99  0.69798  -0.10281  0.393166  0.807667
100  0.69798  -0.10281  0.393166  0.807667
101  0.69798  -0.10281  0.393166  0.807667
102  0.38071  0.0888264  0.969502  1.04535
103  0.38071  0.0888264  0.969502  1.04535
104  0.38071  0.0888264  0.969502  1.04535
105  0.38071  0.0888264  0.969502  1.04535
106  0.38071  0.0888264  0.969502  1.04535
107  0.407101  -0.139442  -0.138613  0.452094
108  0.912334  -0.408807  -0.269035  1.03531
109  0.912334  -0.408807  -0.269035  1.03531
110  0.912334  -0.408807  -0.269035  1.03531
111  0.912334  -0.408807  -0.269035  1.03531
112  0.912334  -0.408807  -0.269035  1.03531
113  0.912334  -0.408807  -0.269035  1.03531
114  0.649371  -0.686864  -0.782334  1.22699
115  0.649371  -0.686864  -0.782334  1.22699
116  0.649371  -0.686864  -0.782334  1.22699
117  0.649371  -0.686864  -0.782334  1.22699
118  0.429411  -1.09354  -1.39253  1.82192
119  0.429411  -1.09354  -1.39253  1.82192
120  0.641856  -0.0485283  -1.07615  1.25397
121  0.641856  -0.0485283  -1.07615  1.25397
122  0.641856  -0.0485283  -1.07615  1.25397
123  0.641856  -0.0485283  -1.07615  1.25397
124  0.641856  -0.0485283  -1.07615  1.25397
125  0.641856  -0.0485283  -1.07615  1.25397
126  0.296745  0.35804  -0.485776  0.67248
127  -0.995872  0.0423412  -1.09019  1.47718
128  -0.781795  -0.121635  0.730758  1.07704
129  -0.781795  -0.121635  0.730758  1.07704
130  -0.781795  -0.121635  0.730758  1.07704
131  -0.781795  -0.121635  0.730758  1.07704
132  -0.781795  -0.121635  0.730758  1.07704
133  0.0696318  -0.45316  -1.24727  1.32887
134  0.0696318  -0.45316  -1.24727  1.32887
135  0.0696318  -0.45316  -1.24727  1.32887
136  0.503539  -0.116673  -0.128904  0.532711
137  0.503539  -0.116673  -0.128904  0.532711
138  0.503539  -0.116673  -0.128904  0.532711
139  0.503539  -0.116673  -0.128904  0.532711
140  0.503539  -0.116673  -0.128904  0.532711
141  0.503539  -0.116673  -0.128904  0.532711
142  0.503539  -0.116673  -0.128904  0.532711
143  0.503539  -0.116673  -0.128904  0.532711
144  -0.707989  -0.925516  0.0720415  1.16748
145  -0.180405  -0.274023  0.36129  0.488021
