0 100  100  100  173.205
1  100.195  99.3762  99.1905  172.492
2  100.008  98.1899  99.4355  171.844
3  99.5775  97.5769  99.3076  171.169
4  99.7174  97.0596  97.9919  170.196
5  99.7585  96.2911  97.0346  169.232
6  100.182  94.968  96.9661  168.694
7  100.182  94.968  96.9661  168.694
8  100.182  94.968  96.9661  168.694
9  100.182  94.968  96.9661  168.694
10  100.565  94.8545  96.3821  168.524
11  101.47  95.4003  96.0109  169.161
12  101.825  95.4282  95.9994  169.383
13  101.825  95.4282  95.9994  169.383
14  101.157  95.5361  95.1416  168.558
15  101.157  95.5361  95.1416  168.558
16  101.287  95.5932  95.0293  168.605
17  101.287  95.5932  95.0293  168.605
18  100.251  96.8872  95.2792  168.865
19  100.251  96.8872  95.2792  168.865
20  100.035  95.5261  96.8832  168.874
21  99.9959  94.7704  95.9886  167.912
22  99.9959  94.7704  95.9886  167.912
23  99.9959  94.7704  95.9886  167.912
24  100.027  93.9077  94.944  166.848
25  99.748  92.5884  93.9621  165.382
26  100.887  92.2567  93.1391  165.422
27  100.887  92.2567  93.1391  165.422
28  100.887  92.2567  93.1391  165.422
29  101.533  92.0183  92.4403  165.292
30  101.728  91.9256  92.4955  165.391
31  101.919  90.9959  91.7325  164.568
32  102.762  90.9406  91.8876  165.147
33  102.994  90.814  91.6706  165.101
34  103.482  90.6553  91.6788  165.324
35  104.252  90.9121  90.46  165.277
36  104.633  89.5024  90.1201  164.561
37  103.944  89.2887  89.4007  163.613
38  103.064  89.0331  89.8663  163.172
39  102.177  88.5894  89.6658  162.26
40  102.554  88.6951  89.0974  162.242
41  103.228  87.7044  88.3665  161.731
42  102.803  86.9906  88.3515  161.064
43  101.451  86.9314  88.2509  160.118
44  101.451  86.9314  88.2509  160.118
45  100.838  87.181  87.6611  159.541
46  100.838  87.181  87.6611  159.541
47  101.341  87.9502  86.8493  159.837
48  101.341  87.9502  86.8493  159.837
49  101.334  86.5179  86.785  159.015
50  101.334  86.5179  86.785  159.015
51  101.334  86.5179  86.785  159.015
52  101.334  86.5179  86.785  159.015
53  100.601  86.2623  87.2897  158.686
54  101.44  85.2776  87.0129  158.536
55  101.44  85.2776  87.0129  158.536
56  100.154  85.21  86.1949  157.23
57  100.154  85.21  86.1949  157.23
58  100.293  86.3632  86.3754  158.044
59  99.0018  84.9741  86.296  156.426
60  98.6026  84.2802  86.6033  155.967
61  99.6515  82.2082  83.8818  154.028
62  99.8972  82.4187  83.0479  153.848
63  99.6607  82.6559  83.0796  153.839
64  99.3481  81.5713  83.6273  153.354
65  98.4266  81.8252  84.235  153.228
66  97.8408  81.04  84.9037  152.804
67  97.0659  81.3987  84.7273  152.402
68  97.7133  79.6382  84.1002  151.535
69  97.6147  78.7523  82.9863  150.39
70  97.8222  77.9093  81.8828  149.479
71  97.456  77.6178  81.2209  148.725
72  97.6086  77.4079  81.3992  148.813
73  97.9478  76.2255  80.587  147.981
74  97.9478  76.2255  80.587  147.981
75  98.075  75.5051  79.5418  147.128
76  99.3129  74.2867  79.2838  147.199
77  99.3129  74.2867  79.2838  147.199
78  99.3129  74.2867  79.2838  147.199
79  99.1518  74.7796  80.2809  147.879
80  99.1518  74.7796  80.2809  147.879
81  98.5259  74.3454  81.2724  147.783
82  97.6999  74.6758  81.1563  147.337
83  97.6999  74.6758  81.1563  147.337
84  97.212  74.3128  81.272  146.894
85  96.1921  74.1544  80.3305  145.619
86  95.7138  73.2507  80.4918  144.934
87  95.4444  72.7846  80.3233  144.427
88  94.6215  73.3306  81.5684  144.859
89  94.9648  72.2904  81.5368  144.542
90  94.624  72.1858  81.8124  144.422
91  93.9075  73.427  81.1113  144.184
92  93.9075  73.427  81.1113  144.184
93  92.913  74.013  81.6414  144.139
94  91.7748  73.2845  80.7351  142.518
95  91.7748  73.2845  80.7351  142.518
96  91.7748  73.2845  80.7351  142.518
97  91.7748  73.2845  80.7351  142.518
98  91.7748  73.2845  80.7351  142.518
99  92.0519  72.6579  80.6964  142.354
100  92.3826  71.6577  80.5409  141.973
101  92.3826  71.6577  80.5409  141.973
102  92.0653  71.8493  81.1173  142.191
103  92.0653  71.8493  81.1173  142.191
104  92.3641  71.3118  81.2222  142.174
105  92.3641  71.3118  81.2222  142.174
106  90.5213  71.9422  79.9655  140.585
107  90.5477  71.7139  78.8574  139.858
108  91.0529  71.4445  78.727  139.975
109  90.3035  70.6442  79.5754  139.562
110  90.5962  70.9243  78.5799  139.33
111  90.4138  71.7334  77.3649  138.945
112  87.9613  72.9661  76.4878  137.52
113  88.1787  72.5302  76.1402  137.235
114  87.9158  72.2522  75.6269  136.635
115  88.2252  71.0872  76.2142  136.549
116  87.0186  71.2949  74.9472  135.175
117  87.0186  71.2949  74.9472  135.175
118  86.7986  70.8883  74.337  134.481
119  86.7986  70.8883  74.337  134.481
120  86.7986  70.8883  74.337  134.481
121  86.7986  70.8883  74.337  134.481
122  86.7986  70.8883  74.337  134.481
123  86.0984  69.1039  74.1402  132.985
124  85.3086  68.0909  73.546  131.617
125  86.4654  67.5996  72.5937  131.59
126  86.1203  68.0061  73.1841  131.899
127  84.8277  67.6904  72.5797  130.559
128  84.8277  67.6904  72.5797  130.559
129  85.1338  66.2776  73.2871  130.428
130  85.1338  66.2776  73.2871  130.428
131  84.7719  65.5425  73.4569  129.915
132  84.7719  65.5425  73.4569  129.915
133  85.6233  65.2109  71.4789  129.202
134  84.2458  65.3132  70.0565  127.558
135  84.3977  64.3889  69.3478  126.799
136  84.3977  64.3889  69.3478  126.799
137  84.409  63.1403  70.5904  126.864
138  85.0883  62.8016  69.2293  126.399
139  85.4336  62.1824  69.3612  126.398
140  86.0213  61.3844  67.7866  125.55
141  85.9372  60.8019  67.1535  124.867
142  85.9372  60.8019  67.1535  124.867
143  85.9372  60.8019  67.1535  124.867
144  84.7257  59.9931  67.3544  123.751
145  85.2533  60.6446  67.6437  124.586
146  85.5385  60.2434  67.7333  124.635
147  85.5385  60.2434  67.7333  124.635
148  85.8651  60.9888  67.6924  125.199
149  85.5329  62.4109  67.9104  125.789
150  85.5329  62.4109  67.9104  125.789
151  85.1461  61.0061  68.6506  125.238
152  85.1461  61.0061  68.6506  125.238
153  85.4551  61.2564  68.6439  125.566
154  85.7115  61.4634  67.6223  125.288
155  84.8761  60.6064  67.9114  124.455
156  84.1135  59.9041  69.4785  124.462
157  84.1135  59.9041  69.4785  124.462
158  83.8164  60.0262  70.1109  124.675
159  83.3872  60.304  68.8252  123.802
160  83.3872  60.304  68.8252  123.802
161  83.4676  59.8257  68.3471  123.358
162  84.146  59.2242  68.3089  123.508
163  84.146  59.2242  68.3089  123.508
164  83.4676  58.3526  67.5993  122.236
165  82.5187  59.6363  65.8847  121.271
166  82.5187  59.6363  65.8847  121.271
167  81.6856  60.8037  65.6688  121.169
168  81.6856  60.8037  65.6688  121.169
169  82.9443  60.7041  67.0213  122.705
170  82.9443  60.7041  67.0213  122.705
171  83.7522  59.3435  65.7847  121.917
172  83.7522  59.3435  65.7847  121.917
173  82.0676  58.2183  65.593  120.112
174  81.5852  58.2088  65.3106  119.624
175  81.5059  57.5882  65.1154  119.162
176  81.5059  57.5882  65.1154  119.162
177  81.5083  59.1046  63.9034  119.25
178  81.5083  59.1046  63.9034  119.25
179  81.5083  59.1046  63.9034  119.25
180  80.566  59.8021  62.9568  118.451
181  81.3426  59.0046  64.3321  119.318
182  81.3426  59.0046  64.3321  119.318
183  80.2278  57.5387  63.7302  117.511
184  80.2278  57.5387  63.7302  117.511
185  80.4203  57.3724  64.2618  117.85
186  80.8661  55.2123  65.0469  117.554
187  81.3671  55.0848  65.9344  118.331
188  81.2464  55.2785  66.2037  118.489
189  80.3351  55.2115  66.832  118.189
190  78.9841  53.3712  67.3803  116.735
191  78.9841  53.3712  67.3803  116.735
192  77.6442  53.8962  66.555  115.598
193  76.4895  54.5215  66.84  115.286
194  75.5119  54.0226  66.1904  114.025
195  75.1284  53.5633  67.9153  114.568
196  75.1284  53.5633  67.9153  114.568
197  75.3185  52.3414  68.8558  114.689
198  74.1493  51.8498  69.2392  113.932
199  73.3674  52.7819  68.8189  113.599
200  74.0851  52.5194  69.0391  114.076
201  72.8409  51.8963  69.8109  113.457
202  73.2176  50.8345  69.9169  113.284
203  71.868  51.2049  69.789  112.505
204  71.6032  51.7427  70.6641  113.127
205  72.1059  51.8336  69.4432  112.731
206  72.6326  51.0765  68.656  112.241
207  72.0194  50.1046  68.4693  111.289
208  72.0194  50.1046  68.4693  111.289
209  72.1056  49.0753  68.4626  110.882
210  72.1056  49.0753  68.4626  110.882
211  71.4629  49.0851  67.7168  110.008
212  71.4629  49.0851  67.7168  110.008
213  71.4629  49.0851  67.7168  110.008
214  70.7958  50.078  66.5562  109.314
215  70.1603  49.8972  66.0931  108.538
216  70.1603  49.8972  66.0931  108.538
217  70.2775  49.2751  67.5189  109.205
218  70.4711  47.8522  67.0162  108.384
219  69.876  48.2004  67.4291  108.41
220  68.4145  47.2998  67.9028  107.371
221  68.9402  48.0495  66.9319  107.431
222  67.7662  47.5929  67.6755  106.945
223  67.7662  47.5929  67.6755  106.945
224  68.0418  48.957  67.0061  107.314
225  68.0418  48.957  67.0061  107.314
226  67.8397  48.3976  67.095  106.987
227  67.8397  48.3976  67.095  106.987
228  67.8397  48.3976  67.095  106.987
229  67.7085  49.51  67.3628  107.58
230  66.8893  49.0299  66.3634  106.218
231  65.771  48.8665  65.8693  105.131
232  66.528  48.8971  66.2383  105.851
233  66.3349  48.3925  66.1407  105.436
234  66.7237  47.1771  66.8891  105.602
235  65.5184  48.2838  65.9436  104.75
236  64.406  47.3836  65.9202  103.628
237  64.343  47.6231  65.8385  103.647
238  63.974  47.7463  65.9352  103.537
239  63.7079  49.2949  64.2039  103.009
240  63.6889  49.6424  62.3502  102.021
241  64.4505  49.3823  61.0777  101.602
242  64.098  49.2166  60.9843  101.242
243  64.098  49.2166  60.9843  101.242
244  63.3657  50.2263  60.4997  100.986
245  63.2955  49.9474  60.9458  101.072
246  64.1198  49.4984  61.3022  101.584
247  63.6904  49.2666  61.3518  101.231
248  62.7764  49.7739  61.4711  100.98
249  61.0721  49.0754  60.7936  99.1668
250  60.8747  48.0362  61.7399  99.1213
251  60.8747  48.0362  61.7399  99.1213
252  60.8747  48.0362  61.7399  99.1213
253  60.8212  46.2411  61.797  98.2666
254  61.3367  45.7244  62.7692  98.959
255  61.0096  46.4802  61.8814  98.5489
256  59.8503  47.0456  61.6795  97.9781
257  60.2655  47.3254  61.7365  98.4023
258  60.7421  46.6471  61.6934  98.3445
259  60.7421  46.6471  61.6934  98.3445
260  60.7421  46.6471  61.6934  98.3445
261  60.5548  46.6575  59.8458  97.0841
262  61.0566  46.4621  58.4585  96.4574
263  61.1202  46.2686  57.574  95.8709
264  61.1202  46.2686  57.574  95.8709
265  61.1202  46.2686  57.574  95.8709
266  60.9976  45.4889  57.8144  95.5639
267  60.9976  45.4889  57.8144  95.5639
268  60.9976  45.4889  57.8144  95.5639
269  59.4042  44.5384  57.111  93.6707
270  59.5991  44.8069  55.7112  93.0776
271  58.9639  44.459  54.8979  92.0169
272  58.9639  44.459  54.8979  92.0169
273  58.9639  44.459  54.8979  92.0169
274  59.0028  44.456  53.8089  91.3951
275  59.0028  44.456  53.8089  91.3951
276  57.872  44.7033  54.3481  91.1113
277  58.6632  44.718  53.776  91.2849
278  57.691  45.1125  52.2936  89.989
279  58.0138  44.262  49.7799  88.3333
280  56.5688  44.0279  50.5117  87.6922
281  55.7475  43.3648  51.241  87.2579
282  55.7475  43.3648  51.241  87.2579
283  55.7475  43.3648  51.241  87.2579
284  54.6977  43.4185  50.9596  86.4516
285  54.3934  43.7392  50.1177  85.9275
286  54.6503  43.9967  49.7887  86.0307
287  55.4485  43.3867  49.0132  85.786
