0 -10  -10  -10  17.3205
1  -10  -10  -10  17.3205
2  -10.0568  -9.82185  -9.49153  16.9616
3  -9.66983  -8.81625  -9.81022  16.3546
4  -9.66983  -8.81625  -9.81022  16.3546
5  -9.66983  -8.81625  -9.81022  16.3546
6  -10.7495  -8.18471  -10.472  17.094
7  -10.7663  -7.54971  -10.5237  16.8422
8  -10.7663  -7.54971  -10.5237  16.8422
9  -10.4766  -7.35015  -11.5555  17.2428
10  -9.4056  -6.7201  -11.5509  16.3416
11  -8.94431  -7.04411  -11.1741  15.9524
12  -8.94431  -7.04411  -11.1741  15.9524
13  -8.75268  -6.2009  -12.2832  16.3076
14  -8.09358  -5.03464  -12.9625  16.0897
15  -7.05482  -3.94375  -12.1855  14.6223
16  -7.96299  -5.05112  -11.6562  14.993
17  -6.75901  -5.30154  -12.2198  14.937
18  -6.6644  -5.84171  -12.2656  15.1323
19  -6.6644  -5.84171  -12.2656  15.1323
20  -7.26201  -6.73332  -11.268  15.0014
21  -7.90781  -5.9107  -10.6511  14.5229
22  -8.64879  -6.75614  -10.2172  14.9946
23  -8.89701  -7.18553  -9.0108  14.5596
24  -9.05353  -8.35436  -8.1533  14.7729
25  -8.86499  -7.47718  -7.65317  13.8949
26  -9.41073  -6.39457  -6.53275  13.1198
27  -8.46356  -6.91432  -5.83358  12.3883
28  -7.6446  -6.01867  -5.24182  11.0517
29  -8.23872  -5.13405  -5.12328  10.9765
30  -8.02072  -4.82745  -4.6159  10.4376
31  -8.02072  -4.82745  -4.6159  10.4376
32  -8.02072  -4.82745  -4.6159  10.4376
33  -8.02072  -4.82745  -4.6159  10.4376
34  -8.02072  -4.82745  -4.6159  10.4376
35  -8.1657  -3.7446  -3.58386  9.67185
36  -8.1657  -3.7446  -3.58386  9.67185
37  -7.36148  -3.3822  -4.35902  9.19955
38  -7.36148  -3.3822  -4.35902  9.19955
39  -8.22573  -2.19775  -3.55559  9.22686
40  -6.9995  -1.22615  -3.68899  8.00656
41  -6.75545  -1.84999  -3.04838  7.63879
42  -6.76584  -0.889023  -3.39806  7.62324
43  -6.03749  -1.43003  -2.63162  6.73957
44  -5.54569  -1.17793  -2.03024  6.02197
45  -5.54569  -1.17793  -2.03024  6.02197
46  -5.23745  -0.853011  -2.99641  6.09401
47  -5.46553  0.250055  -2.46515  6.00096
48  -4.51213  -0.52035  -1.30095  4.72467
49  -4.51213  -0.52035  -1.30095  4.72467
50  -4.21913  -1.38909  -1.20497  4.60245
51  -4.11955  -1.69772  -0.800999  4.52709
52  -4.90621  -2.91646  -0.984576  5.79189
53  -4.90621  -2.91646  -0.984576  5.79189
54  -4.87486  -2.9924  -0.934215  5.79581
55  -5.98367  -2.82197  0.0671083  6.61607
56  -6.49814  -2.58835  -0.610788  7.02128
57  -6.49814  -2.58835  -0.610788  7.02128
58  -7.41777  -2.18519  -0.994068  7.79657
59  -7.41777  -2.18519  -0.994068  7.79657
60  -6.7942  -3.41843  -1.26592  7.71034
61  -6.88272  -4.15494  -0.472  8.05345
62  -5.80484  -5.08373  0.620193  7.74113
63  -5.54037  -4.3496  0.0963582  7.04443
64  -5.99477  -4.36791  0.684661  7.4488
65  -5.99477  -4.36791  0.684661  7.4488
66  -5.83804  -5.13393  1.09943  7.85167
67  -5.83804  -5.13393  1.09943  7.85167
68  -5.99983  -4.73242  1.11725  7.72283
69  -5.99983  -4.73242  1.11725  7.72283
70  -5.99983  -4.73242  1.11725  7.72283
71  -5.99983  -4.73242  1.11725  7.72283
72  -5.31878  -4.33567  0.162942  6.86397
73  -5.06899  -4.61139  0.33113  6.8607
74  -4.46368  -4.32728  1.06997  6.3083
75  -4.46368  -4.32728  1.06997  6.3083
76  -4.46368  -4.32728  1.06997  6.3083
77  -3.22965  -5.40815  1.7729  6.54384
78  -3.46782  -5.68517  0.953441  6.72726
79  -2.53768  -6.15726  0.068625  6.66006
80  -1.58858  -5.59559  0.500594  5.83822
81  -0.713011  -4.55903  0.835699  4.68951
82  -0.713011  -4.55903  0.835699  4.68951
83  -0.713011  -4.55903  0.835699  4.68951
84  0.155212  -4.20622  1.60566  4.50494
85  0.155212  -4.20622  1.60566  4.50494
86  -0.833901  -4.75635  0.743514  4.8858
87  -0.105056  -3.70425  -0.324922  3.71996
88  0.104845  -2.71046  -0.962232  2.87811
89  -0.067406  -1.78734  -1.82534  2.55558
90  0.491765  -0.584104  -1.12086  1.35622
91  -0.0541072  -0.389829  0.0283058  0.394582
92  -0.0541072  -0.389829  0.0283058  0.394582
93  -0.156922  0.472776  0.500899  0.706428
94  0.895378  0.635724  0.605591  1.25403
95  0.895378  0.635724  0.605591  1.25403
96  0.895378  0.635724  0.605591  1.25403
97  -0.0876437  1.31163  0.475162  1.39779
98  0.457089  1.10385  0.500227  1.29524
99  0.457089  1.10385  0.500227  1.29524
100  0.457089  1.10385  0.500227  1.29524
101  0.457089  1.10385  0.500227  1.29524
102  0.457089  1.10385  0.500227  1.29524
103  0.457089  1.10385  0.500227  1.29524
104  0.919211  0.967295  0.92905  1.62596
105  0.919211  0.967295  0.92905  1.62596
106  0.919211  0.967295  0.92905  1.62596
107  2.15316  0.921117  0.356967  2.36896
108  2.15316  0.921117  0.356967  2.36896
109  2.29662  0.0217208  -0.677296  2.39451
110  1.24593  0.978386  -1.01736  1.88271
111  0.673074  0.397616  -0.605554  0.988849
112  0.673074  0.397616  -0.605554  0.988849
113  0.673074  0.397616  -0.605554  0.988849
114  0.673074  0.397616  -0.605554  0.988849
115  1.00926  0.128675  -0.57539  1.16886
116  1.00926  0.128675  -0.57539  1.16886
117  1.00926  0.128675  -0.57539  1.16886
118  0.136064  -0.104648  0.412661  0.446939
119  0.123439  0.864784  0.880046  1.23999
120  0.0795773  0.2878  1.19694  1.23362
121  0.402554  0.298683  0.120098  0.515446
122  0.402554  0.298683  0.120098  0.515446
123  0.402554  0.298683  0.120098  0.515446
124  0.402554  0.298683  0.120098  0.515446
125  0.402554  0.298683  0.120098  0.515446
126  0.402554  0.298683  0.120098  0.515446
127  0.402554  0.298683  0.120098  0.515446
128  0.185224  0.268129  -0.14734  0.357646
129  0.185224  0.268129  -0.14734  0.357646
130  0.185224  0.268129  -0.14734  0.357646
131  0.185224  0.268129  -0.14734  0.357646
132  0.185224  0.268129  -0.14734  0.357646
133  0.185224  0.268129  -0.14734  0.357646
134  0.185224  0.268129  -0.14734  0.357646
135  0.185224  0.268129  -0.14734  0.357646
136  0.185224  0.268129  -0.14734  0.357646
137  0.185224  0.268129  -0.14734  0.357646
138  1.35574  0.981082  0.0274988  1.67371
139  0.275568  2.09346  0.875028  2.28565
140  -0.801383  2.15559  0.216006  2.30986
141  -0.801383  2.15559  0.216006  2.30986
142  -0.47673  1.10338  0.498397  1.3012
143  -0.388881  0.0762517  -0.678124  0.785427
144  -0.388881  0.0762517  -0.678124  0.785427
145  0.684457  -0.868722  0.423896  1.18442
146  0.960646  -1.58231  0.240524  1.86665
147  0.960646  -1.58231  0.240524  1.86665
148  1.14317  -1.52318  -0.0274189  1.90464
149  1.17111  -1.48741  0.606778  1.98798
150  0.687638  -0.95144  0.304513  1.21277
151  0.0119927  0.268131  -0.38344  0.468043
152  -0.79  0.39795  0.0523769  0.886119
153  -0.79  0.39795  0.0523769  0.886119
154  -0.79  0.39795  0.0523769  0.886119
155  -0.79  0.39795  0.0523769  0.886119
156  -0.79  0.39795  0.0523769  0.886119
157  -0.36935  -0.462492  -0.476122  0.759612
158  0.306772  0.186998  -0.29321  0.463734
159  0.306772  0.186998  -0.29321  0.463734
160  0.340851  0.167046  0.73372  0.826093
161  0.340851  0.167046  0.73372  0.826093
162  0.340851  0.167046  0.73372  0.826093
163  0.340851  0.167046  0.73372  0.826093
164  0.340851  0.167046  0.73372  0.826093
165  0.340851  0.167046  0.73372  0.826093
166  0.340851  0.167046  0.73372  0.826093
167  0.340851  0.167046  0.73372  0.826093
168  0.340851  0.167046  0.73372  0.826093
169  1.47186  1.11031  0.973618  2.08497
170  1.98468  0.784426  0.147249  2.13915
171  1.98468  0.784426  0.147249  2.13915
172  2.69391  1.40342  -0.912232  3.17157
173  2.19023  1.53491  -0.457959  2.71344
174  2.19023  1.53491  -0.457959  2.71344
175  2.01364  0.346587  -0.571146  2.12157
176  2.2954  -0.856981  0.203514  2.45859
177  2.0406  -0.0253898  1.23402  2.38484
178  1.59413  -0.999431  0.403111  1.92422
179  1.59413  -0.999431  0.403111  1.92422
180  1.59413  -0.999431  0.403111  1.92422
181  1.06352  -1.96483  -0.570466  2.30587
182  1.06352  -1.96483  -0.570466  2.30587
183  0.0108534  -1.43692  -0.073639  1.43885
184  0.0108534  -1.43692  -0.073639  1.43885
185  0.0108534  -1.43692  -0.073639  1.43885
186  0.212242  -1.00782  -0.513904  1.15102
187  -0.912217  -1.15045  0.692199  1.62321
188  -0.912217  -1.15045  0.692199  1.62321
189  -0.358472  -0.526005  1.2731  1.42337
190  -0.358472  -0.526005  1.2731  1.42337
191  -0.392521  0.565906  1.89702  2.01817
192  -1.23265  -0.514079  0.752825  1.53312
193  -1.47297  -1.02821  -0.420929  1.84501
194  -1.40638  -0.0166155  0.321875  1.44284
