0 100  100  100  173.205
1  99.0642  99.1814  100.57  172.525
2  99.0074  99.3595  101.078  172.892
3  99.0074  99.3595  101.078  172.892
4  99.692  98.172  100.255  172.126
5  99.1445  98.2857  99.0584  171.179
6  98.0648  98.9172  98.3966  170.538
7  98.048  99.5522  98.3448  170.868
8  97.4476  98.9056  98.2749  170.107
9  97.7373  99.1052  97.2431  169.796
10  98.8083  99.7352  97.2477  170.784
11  99.2696  99.4112  97.6246  171.078
12  99.712  98.4148  96.6845  170.223
13  99.9036  99.258  95.5754  170.199
14  99.9036  99.258  95.5754  170.199
15  100.942  100.349  96.3523  171.881
16  100.034  99.2415  96.8816  171.002
17  101.238  98.9911  96.3181  171.247
18  101.333  98.4509  96.2722  170.966
19  100.625  97.2552  95.3156  169.32
20  100.028  96.3636  96.3132  169.02
21  100.028  96.3636  96.3132  169.02
22  99.2867  95.5182  96.747  168.35
23  99.0385  95.0888  97.9535  168.658
24  98.882  93.9199  98.811  168.411
25  98.882  93.9199  98.811  168.411
26  98.882  93.9199  98.811  168.411
27  99.8292  93.4002  99.5101  169.091
28  99.8292  93.4002  99.5101  169.091
29  99.235  94.2848  99.6287  169.302
30  99.235  94.2848  99.6287  169.302
31  98.8423  94.9297  98.4864  168.763
32  98.8423  94.9297  98.4864  168.763
33  97.7426  93.8827  97.462  166.932
34  98.4694  92.9128  97.0809  166.594
35  98.3244  93.9956  98.1129  167.717
36  97.2776  93.4241  99.1108  167.374
37  98.0818  93.7865  98.3356  167.588
38  96.9908  92.8734  97.1278  165.73
39  96.9908  92.8734  97.1278  165.73
40  96.9908  92.8734  97.1278  165.73
41  97.2349  92.2496  97.7684  165.901
42  97.2245  93.2106  97.4187  166.226
43  97.2245  93.2106  97.4187  166.226
44  97.2245  93.2106  97.4187  166.226
45  95.9847  93.5987  96.9137  165.427
46  96.2929  93.9236  95.9475  165.227
47  96.2929  93.9236  95.9475  165.227
48  96.2929  93.9236  95.9475  165.227
49  96.2929  93.9236  95.9475  165.227
50  96.5859  93.0549  96.0435  164.962
51  96.6855  92.7463  96.4475  165.082
52  95.8988  91.5275  96.2639  163.831
53  95.1765  90.3684  95.8333  162.509
54  95.2079  90.2925  95.8836  162.514
55  94.099  90.4629  96.885  162.557
56  93.5846  90.6965  96.2071  161.987
57  92.5322  89.7489  95.0088  160.137
58  91.6126  90.152  94.6255  159.607
59  90.5297  88.968  94.7625  158.401
60  91.1532  87.7347  94.4906  157.907
61  91.0647  86.9982  95.2845  157.926
62  91.0647  86.9982  95.2845  157.926
63  91.0647  86.9982  95.2845  157.926
64  90.6103  86.9799  95.8728  158.011
65  90.2125  86.9716  96.523  158.174
66  90.3692  86.2056  96.9378  158.098
67  89.448  86.694  96.9131  157.826
68  89.2862  87.0955  96.9309  157.966
69  89.0092  86.1251  95.7285  156.538
70  88.3329  85.99  95.3943  155.875
71  88.1041  84.981  96.4783  155.859
72  88.7851  85.3777  95.524  155.875
73  89.0349  85.102  95.6922  155.97
74  89.0349  85.102  95.6922  155.97
75  87.8195  84.7027  95.7781  155.114
76  87.8195  84.7027  95.7781  155.114
77  87.8195  84.7027  95.7781  155.114
78  87.5813  84.4257  94.9587  154.322
